#254754	#299C90	#EAC569	#F3A362	#E66E50
#EFEFED	#00AEB6	#383F45	#212732
#616B39	#293517	#FDFBE1	#DEA05F	#BD6B26
#CCB5DA	#FEC7DC	#FFB0CB	#BEE1FF	#A3D3FF
#CDD6AD	#EAECCA	#FFF9E1	#F9EECE	#D5A274
#FFCEB3	#FFB3A3	#E6999C	#B6828E	#6E6974
#CA9A7F	#DCBDAA	#FFE9D7	#B6B8A3	#A6A48E	#6C715D
#8FCBE5	#209FBD	#012F48	#FEB802	#FC8400
#000000	#13203E	#FBA212	#E6E4E6	#FEFFFF
#006C78	#84C6BF	#EEF5FA	#FEDED3	#E39479
#F5F0DD	#E1795E	#3E415C	#82B199	#F1CB90
#002F4A	#D52929	#F68000	#FBBE48	#E9E3B8
#F5BC5F	#F6ECE3	#F6C9C4	#83A69E	#F18381
#21233C	#4B4F68	#998B99	#C8ACA8	#F1E8E5
#D9D8CE	#A4B289	#578258	#395941	#334F40
#FFBF0A	#FC5708	#FE006D	#8437ED	#3985FF
#70CACF	#A7E4EA	#CAF0F4	#E2FCFC
#D7E3DB	#FEE4D8	#FFCBD3	#F3ADB8	#9E828A
#ECEEEA	#D7CBC1	#F6ECE1	#E4D4C9	#D6BEAE
#102E4D	#4073AE	#DAE1F0	#F8F8F6
#FFB4A6	#FDD6CD	#F9EEEA	#FADBC3	#FFC999
#FF9393	#FFD0D2	#FFE4E2	#FFF6E5
#CBD1C4	#85A88B	#53786E	#345051	#2E3F45
#8884A1	#F5F5F7	#FFE1E1	#FFC6C6
#F04670	#FFD065	#05D59F	#128BB1	#083C4D
#FFFAEA	#E2CBA6	#CFAC92	#AC8A74
#414973	#A5B2E2	#DDD7F8	#F3EDFE
#2A2C43	#8E98AF	#EEF3F3	#EE243D	#DA032A
#E9EBEB	#FF2F62	#262935	#09DAD7
#F1BFD0	#FECFDE	#F7E7EF	#FAF6F7
#692D71	#B93C5D	#F18B5C	#F8EE68
#96E0D2	#EBFFCF	#FBE489	#F28080
#8F99AE	#CCC1D4	#EED2D6	#FFEBF9	#DFE1FE
#BCE0FB	#3381B9	#104B74	#1A252D
#EEDFD3	#E7CDB3	#DEB791	#B18A67	#7E543A	#9D6745
#EF7F7F	#F5988F	#F9AC9E	#FAC5AC	#FFD9B8
#EFF0FE	#D1D9FF	#ABC5FE	#B0B1FE
#977D75	#D6BFAF	#EDE4CA	#B8C5CE
#FFFFD1	#FDB9D2	#AB97D9	#A9D9E9
#325D66	#FFF2B1	#E19E3F	#9F292A	#530A0F
#62C1C0	#BCDFD5	#FBE2D8	#FEB5BA
#EFEADB	#BECCD5	#94C0D0	#5F95B3
#DEE5EE	#9EB3BE	#516C81	#28384C
#344F71	#6C5A7B	#B46475	#E46A6E	#E9AD8A
#C09371	#E2B6A1	#EECCBA	#FEECDA
#0082A8	#00B0BA	#FEFDDB	#FDDAB8	#F17268
#F0DDC8	#C9B7A7	#A3917D	#8C7A69
#FDDDC1	#E4B19A	#B5856D	#7E594F
#FB5286	#F4F6F4	#40C2C8	#37506A
#7A8678	#A3B39E	#BCD3B5	#F7ECE2
#ADE0E0	#D2E1DB	#EDE1E0	#FBD0D0
#CBA7E8	#C2BFEF	#C9DFFD	#DFFBF8
#584446	#805A5A	#9F7575	#FFF9EB
#02035D	#0078B7	#00B5D9	#8FDFEE	#C9F1F9
#60103F	#9B041F	#FA8A23	#E46313	#104B5D
#7796B3	#AFBEC9	#E7DECB	#F4EEE5
#FFA01D	#FFBE6A	#FFFFFF	#CCF4F1	#2FC5B5
#C5DDE5	#DBEBF0	#F3D2D2	#FEE5E7
#790000	#C2111E	#FCF1D4	#002F48	#679CBB
#DBD8CA	#A37A5D	#3E4D4E	#2D3538
#DAA299	#EFDCDA	#F4ECE1	#FDFBF4
#FFD5FE	#E6C5FF	#C9B5FE	#B9BFFF	#BACFFE
#345D7C	#6D5A7A	#BF6D85	#F77181
#FF98C9	#FBF7BE	#CFF3DF	#A8DFFA	#E5C2FA
#41523C	#619A65	#9CC18C	#ECF2D5
#F6C5A9	#F9E3CE	#FCF7EF	#FDD9D3
#F6EAEC	#E3D1CF	#D4B3B5	#857171
#45403B	#89807D	#BBB9B0	#F3F2EF	#DFB09F
#75A0CE	#BAD6EB	#D7E7F1	#F8FAFB
#54364B	#8F3648	#E74646	#2C2F4B
#F0EFE7	#EDE1C8	#AEC5CF	#97B5C4
#15FFED	#0C7276	#313133	#202220
